Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.2 Global installed capacity additions fuel group; 2001-24,,,,,,,,,,,,1.4 Global renewable installed capacity additions by technology; 2001-24,,,,,,,,,,,,1.6 Global renewable installed capacity additions by technology and region; 2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2 Average Capacity Utilisation Factor (CUF) for different technologies; 2000-22,,,,,,,,,,,,,2.4 Global electricity generation by fuel group and technology; 2023,,,,,,,,,,,,,,2.6 Global growth in renewable electricity generation by technology; 2018-23,,,,,,,,,,,,,2.8 Share of renewable electricity generation by technology; 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Out of which, renewables are divided by:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011-15,0.026756326926838714,0.08553477380625552,0.04243898528263235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011-24,0.020252635151770892,0.09711406906266817,0.04664063369658744,,,,,,,,,CAGR 00-24,0.024953525454552095,0.19131615151816517,0.35734609604039047,0.06811796144252313,0.026262276013275354,0.03082303758505578,,,0.07608749936259063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-24,0.013594803602687833,0.1116620678196445,0.05127456740594827,,,,,,,,,DataType,ELECCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DataType,ELECCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,"RE cap by tech, recent",,,,,"RE cap additions by tech, recent",,,,,,"RE cap by tech, recent",,,,,,,,,,,,,,,,,,,,"RE cap by tech, recent",,,,,,,,,,,,,
,latest YoY,0.011184816538176974,0.15070414444930683,0.07123194369375187,,,,,,,,,RE Parts,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE Parts,RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DataType,ELECCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DataType,ELECCAP,,,,DataType,ELECCAP,,,,,DataType,ELECCAP,,,,,,,,,,,,,,,,,,,DataType,ELECCAP,,,,,,,,,,,,
,,,,,,,,,,,,,Indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,RE Parts,RE,,,,RE Parts,RE,,,,,RE Parts,(Multiple Items),,,,,,,,,,,,,,,,,,,RE Parts,(Multiple Items),,,,,,,,,,,,
,Indicator,,,,,,,,,,,,,Electricity Installed Capacity (MW),,,,,,,,,,,,,,Electricity Installed Capacity (MW) Total,,,,,,,,,,,,,Electricity Installed Capacity (MW) Additions,,,,,,,Electricity Installed Capacity (MW) Total,,,,,Electricity Installed Capacity (MW),,,,,,,,Grand Total,,,,,,,Capacity additions,,,,,,,,,,,Year,2024,,,,,,,,,,Year,2024,,,,,,,,,,,,,,,,,,,Year,2024,,,,,,,,,,,,
,,Electricity Installed Capacity (MW),,Electricity Installed Capacity (MW) Total,,,ELECCAP,,,,,,,Total Renewable,,,,,,,,Total Renewable Total,Total Non-Renewable,,,,Total Non-Renewable Total,,% Variable renewables,,% Clean,,Renewable capacity by technology,,,,,,,,Total Renewable,,,,,,Total Renewable Total,,% VRE,,,,Total Renewable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Non-Renewable,Total Renewable,,,% Variable renewables,% Renewables,Add Non-RE,Add RE,Add Total,%RE,YoY RE,,Hydropower,Wind energy,Solar energy,Bioenergy,Geothermal energy,Marine energy,Multiple renewables*,Other renewable energy,,Fossil fuels,Nuclear,Other non-renewable energy,Pumped storage,,,,Other Non-RE,,,,Hydropower,Wind energy,Solar energy,Bioenergy,Geothermal energy,Marine energy,,Hydropower,Wind energy,Solar energy,Bioenergy,Geothermal energy,Marine energy,,,,,,,Solar energy,Hydropower,Wind energy,Bioenergy,Geothermal energy,Marine energy,Other renewable energy,Multiple renewables*,,,,,,3-y growth,,,,Solar energy,Hydropower,Wind energy,Bioenergy,Geothermal energy,Marine energy,,,Cap (GW),Indicator,,,,Add (GW),,Electricity Installed Capacity (MW),,,,Cap (GW),Indicator,,,,,,,,,,,,,,,,,,,,Indicator,,,,,,,,,,,,,
,2000,2707904.798799998,764381.736,3472286.534800002,,0.005236050313758797,0.2201378625695783,,,,,,2000,706581.543,16960.929999999997,1220.1369999999995,31108.176000000003,8272.7,238.25,,,764381.736,2262880.5888,358461.5,5724.16,80838.54999999999,2707904.798799998,3472286.534800002,0.02378532367235943,86562.70999999999,0.32337286244859803,,2000,0.924383079451286,0.022189083282858547,0.0015962403895008808,0.04069717332963592,0.010822733734182263,0.00031168981253628487,,,,,,,,,,,,Asia,2021,489054.42299999995,522645.2710000001,384802.879,54868.655,4731.514,260.771,,,1456363.513,,,,,504.90667200000047,,Asia,2022.0,111579.82000000007,16341.042999999889,41679.58999999991,4480.151999999995,28.678999999999178,0,174109.28399999987,,,,Electricity Installed Capacity (MW),,,,,2022,2023,,,,,Electricity Installed Capacity (MW),,,,,,,,,,,,,,,,,,%RE,,Fossil fuels,Nuclear,Pumped storage,Hydropower,Solar energy,Wind energy,Geothermal energy,Bioenergy,Marine energy,Multiple renewables*,Other non-renewable energy,Other renewable energy,Grand Total
,2001,2776754.4428000012,785527.9479999997,3562282.3908000034,,0.007098057713027499,0.2205125427531277,68849.64400000311,21146.21199999971,89995.85600000154,0.23496873011574385,0.027664465284921076,2001,718506.1000000001,23954.521000000004,1330.7649999999994,33535.612,7960.7,240.25,,,785527.9479999997,2332727.862800001,360322.5,5981.530000000001,77722.54999999999,2776754.4428000012,3562282.3908000034,0.03218890691843342,83704.07999999999,0.3216618791815292,,2001,0.9146792317566279,0.030494804240879806,0.0016941026775536187,0.04269181266609754,0.0101342033981966,0.00030584526064501025,,11924.557000000146,6993.591000000008,110.62799999999993,2427.435999999998,-312.0000000000009,2,21146.21199999971,89995.85600000154,0.33595704989622277,,,2022,600634.243,538986.314,426482.4689999999,59348.80699999999,4760.192999999999,260.771,,,1630472.7970000003,,,,,0.3466900038987728,,,2023.0,240960.83599999966,4690.775999999838,82102.47000000009,2764.7160000000076,278.5100000000002,0.07999999999998408,330797.3879999996,0.4200786208315631,1866.3064330000004,Solar energy,1866306.4330000004,,,357.1000630000001,Solar energy,,357100.0630000001,,,4548.335374021002,Fossil fuels,4548335.374021002,,Fossil fuels,4548.335374021002,,,,,,,,,,,,,,,0.542725924708163,China,1398510,60830,58690,377260,887099.8,521265.71,25.75,32300,4.75,,13690,,3349676.01
,2002,2885420.1907999995,806421.5249999997,3691841.7157999994,,0.008763582106333382,0.21843339641262305,108665.74799999828,20893.576999999932,129559.324999996,0.16126648544981673,0.026598133208622563,2002,730219.8580000001,30723.199000000008,1630.5589999999995,35491.45900000001,8113.2,243.25,,,806421.5249999997,2433144.455799999,366680.5,6457.6849999999995,79137.54999999999,2885420.1907999995,3691841.7157999994,0.040120156762928696,85595.23499999999,0.31775523310749404,,2002,0.9055064074585564,0.038098188165302284,0.002021968597626409,0.04401105116830807,0.010060743356273882,0.00030164125393354315,,11713.75800000003,6768.6780000000035,299.7940000000001,1955.8470000000088,152.5,3,20893.576999999932,129559.324999996,0.3383083710367079,,,2023,841595.0789999997,543677.0899999999,508584.939,62113.523,5038.7029999999995,260.851,,,1961270.1850000005,,,,,,,,2024.0,314963.94900000026,10310.78999999992,85534.66500000015,2311.6379999999917,74.49000000000069,-1,413194.5320000003,0.287349258894947,1276.622384,Hydropower,1276622.384,,,10.344011000000172,Hydropower,,10344.011000000173,,,1866.3064330000004,Solar energy,1866306.4330000004,,Nuclear,400.30849,,,,,,,,,,,,,,,0.33468298228381416,United States of America (the),717003.3,96826.2,18925,84151.5,177594.3,152652.69999999998,2725,10762.2,,,17840.4,,1278480.5999999999
,2003,3007185.6248000003,836678.6909999998,3843864.315800001,,0.010666751901586459,0.21766603143635332,121765.43400000082,30257.166000000085,152022.6000000015,0.19903070990760444,0.03752028568433872,2003,748874.2160000001,38659.721999999994,2341.8249999999994,38370.578,8188.1,244.25,,,836678.6909999998,2554086.3948,366526.5,7275.179999999999,79297.54999999999,3007185.6248000003,3843864.315800001,0.049005128780075506,86572.72999999998,0.31301968335726327,,2003,0.895055920576804,0.046206174981932226,0.0027989537981432827,0.04586058951034049,0.009786433057370649,0.00029192807540977527,,18654.358000000007,7936.5229999999865,711.2659999999998,2879.1189999999915,74.90000000000055,1,30257.166000000085,152022.6000000015,0.28580961614184097,,,2024,1156559.028,553987.8799999998,594119.6040000002,64425.16099999999,5113.193,259.851,,,2374464.7169999997,,,,,-1669.279034,,Europe,2022.0,35984.29999999999,2444.704000000027,18826.446999999986,821.9829999999783,7.321999999999889,0.8779999999999859,58085.63399999998,0.25494470993342033,1132.6569090000005,Wind energy,1132656.9090000005,,,115.3382649999999,Wind energy,,115338.2649999999,,,1276.622384,Hydropower,1276622.384,,Pumped storage,150.07429399999998,,,,,,,,,,,,,,,0.38300128697178176,India,316140.41000000003,8180,4785.6,47507.795000000006,97576.321,48163.16,,11237.339,,,309.97,,533900.595
,2004,3099083.8378,869536.0009999996,3968619.838800003,,0.012872565041515044,0.21910287110365362,91898.21299999952,32857.30999999982,124755.52300000191,0.26337359028184526,0.03927112086567988,2004,769253.2169999998,47660.06799999999,3426.2489999999993,40744.417,8208.8,243.25,,,869536.0009999996,2637409.9077999997,373804.5,7445.879999999999,80423.54999999999,3099083.8378,3968619.838800003,0.0587512385240505,87869.43,0.3132929208396918,,2004,0.8846709234756575,0.054810919783872196,0.003940318740178305,0.04685765391328521,0.009440437187833012,0.00027974689917410344,,20379.0009999997,9000.345999999998,1084.424,2373.839,20.69999999999891,-1,32857.30999999982,124755.52300000191,0.3069262212883541,,Europe,2021,186715.13900000005,195539.74,221505.79100000003,41478.693000000014,1632.548,228.138,,,647100.0490000002,,,,,-0.7030127767529174,,,2023.0,56851.85400000002,322.52800000002026,16907.11500000005,-973.5709999999672,30.000000000000227,-0.22999999999998977,73137.69600000013,0.03404735749900703,151.26407099999997,Bioenergy,151264.07099999997,,,2.627299000000057,Bioenergy,,2627.2990000000573,,,1132.6569090000005,Wind energy,1132656.9090000005,,Other non-renewable energy,68.32681600000004,,,,,,,,,,,,,,,0.3554068444683298,Japan,180279.872,33083,21850,28234.053,89601.333,5858.031,489.054,6223.236000000001,,,1300.936,,366919.515
,2005,3204066.491800001,908759.3789999995,4112825.8708000025,,0.015411563968710086,0.22095741651791181,104982.65400000103,39223.37799999991,144206.03199999966,0.2719954044640796,0.045108400290375016,2005,791140.2589999998,58462.901,4922.178000000001,45436.975,8555.815999999999,241.25,,,908759.3789999995,2734434.9988000006,377973.5,8391.443,83266.54999999999,3204066.491800001,4112825.8708000025,0.06974902318999894,91657.99299999999,0.31285858420009205,,2005,0.8705717677110216,0.06433265213101039,0.005416371058988546,0.04999890625613012,0.009414831029765916,0.0002654718130837582,,21887.042000000016,10802.833000000006,1495.9290000000015,4692.557999999997,347.0159999999996,-2,39223.37799999991,144206.03199999966,0.31355693025725717,,,2022,222699.43900000004,197984.44400000002,240332.238,42300.67599999999,1639.87,229.016,,,705185.6829999998,,,,,,,,2024.0,59056.07999999996,-2136.780000000057,12895.555999999924,2114.3499999999694,-8,0,71921.2059999998,0.0034689310282587154,15.411610999999999,Geothermal energy,15411.610999999999,,,0.395880000000001,Geothermal energy,,395.880000000001,,,400.30849,Nuclear,400308.49,,Renewables,4442.755095,,,,,,,,,,,,,,,0.6476044838113287,Germany,87936,,5280,5844,89943,72823,44,10000.5,,,3999.27,,275869.77
