Dates,Unnamed: 1
FullDate,Year
36526,2000
36527,2000
36528,2000
36529,2000
36530,2000
36531,2000
36532,2000
36533,2000
36534,2000
36535,2000
36536,2000
36537,2000
36538,2000
36539,2000
36540,2000
36541,2000
36542,2000
36543,2000
36544,2000
36545,2000
36546,2000
36547,2000
36548,2000
36549,2000
36550,2000
36551,2000
36552,2000
36553,2000
36554,2000
36555,2000
36556,2000
36557,2000
36558,2000
36559,2000
36560,2000
36561,2000
36562,2000
36563,2000
36564,2000
36565,2000
36566,2000
36567,2000
36568,2000
36569,2000
36570,2000
36571,2000
36572,2000
36573,2000
36574,2000
36575,2000
36576,2000
36577,2000
36578,2000
36579,2000
36580,2000
36581,2000
36582,2000
36583,2000
36584,2000
36585,2000
36586,2000
36587,2000
36588,2000
36589,2000
36590,2000
36591,2000
36592,2000
36593,2000
36594,2000
36595,2000
36596,2000
36597,2000
36598,2000
36599,2000
36600,2000
36601,2000
36602,2000
36603,2000
36604,2000
36605,2000
36606,2000
36607,2000
36608,2000
36609,2000
36610,2000
36611,2000
36612,2000
36613,2000
36614,2000
36615,2000
36616,2000
36617,2000
36618,2000
36619,2000
36620,2000
36621,2000
36622,2000
36623,2000
36624,2000
36625,2000
36626,2000
36627,2000
36628,2000
36629,2000
36630,2000
36631,2000
36632,2000
36633,2000
36634,2000
36635,2000
36636,2000
36637,2000
36638,2000
36639,2000
36640,2000
36641,2000
36642,2000
36643,2000
36644,2000
36645,2000
36646,2000
36647,2000
36648,2000
36649,2000
36650,2000
36651,2000
36652,2000
36653,2000
36654,2000
36655,2000
36656,2000
36657,2000
36658,2000
36659,2000
36660,2000
36661,2000
36662,2000
36663,2000
36664,2000
36665,2000
36666,2000
36667,2000
36668,2000
36669,2000
36670,2000
36671,2000
36672,2000
36673,2000
36674,2000
36675,2000
36676,2000
36677,2000
36678,2000
36679,2000
36680,2000
36681,2000
36682,2000
36683,2000
36684,2000
36685,2000
36686,2000
36687,2000
36688,2000
36689,2000
36690,2000
36691,2000
36692,2000
36693,2000
36694,2000
36695,2000
36696,2000
36697,2000
36698,2000
36699,2000
36700,2000
36701,2000
36702,2000
36703,2000
36704,2000
36705,2000
36706,2000
36707,2000
36708,2000
36709,2000
36710,2000
36711,2000
36712,2000
36713,2000
36714,2000
36715,2000
36716,2000
36717,2000
36718,2000
36719,2000
36720,2000
36721,2000
36722,2000
36723,2000
36724,2000
36725,2000
36726,2000
36727,2000
36728,2000
36729,2000
36730,2000
36731,2000
36732,2000
36733,2000
36734,2000
36735,2000
36736,2000
36737,2000
36738,2000
36739,2000
36740,2000
36741,2000
36742,2000
36743,2000
36744,2000
36745,2000
36746,2000
36747,2000
36748,2000
36749,2000
36750,2000
36751,2000
36752,2000
36753,2000
36754,2000
36755,2000
36756,2000
36757,2000
36758,2000
36759,2000
36760,2000
36761,2000
36762,2000
36763,2000
36764,2000
36765,2000
36766,2000
36767,2000
36768,2000
36769,2000
36770,2000
36771,2000
36772,2000
36773,2000
36774,2000
36775,2000
36776,2000
36777,2000
36778,2000
36779,2000
36780,2000
36781,2000
36782,2000
36783,2000
36784,2000
36785,2000
36786,2000
36787,2000
36788,2000
36789,2000
36790,2000
36791,2000
36792,2000
36793,2000
36794,2000
36795,2000
36796,2000
36797,2000
36798,2000
36799,2000
36800,2000
36801,2000
36802,2000
36803,2000
36804,2000
36805,2000
36806,2000
36807,2000
36808,2000
36809,2000
36810,2000
36811,2000
36812,2000
36813,2000
36814,2000
36815,2000
36816,2000
36817,2000
36818,2000
36819,2000
36820,2000
36821,2000
36822,2000
36823,2000
36824,2000
36825,2000
36826,2000
36827,2000
36828,2000
36829,2000
36830,2000
36831,2000
36832,2000
36833,2000
36834,2000
36835,2000
36836,2000
36837,2000
36838,2000
36839,2000
36840,2000
36841,2000
36842,2000
36843,2000
36844,2000
36845,2000
36846,2000
36847,2000
36848,2000
36849,2000
36850,2000
36851,2000
36852,2000
36853,2000
36854,2000
36855,2000
36856,2000
36857,2000
36858,2000
36859,2000
36860,2000
36861,2000
36862,2000
36863,2000
36864,2000
36865,2000
36866,2000
36867,2000
36868,2000
36869,2000
36870,2000
36871,2000
36872,2000
36873,2000
36874,2000
36875,2000
36876,2000
36877,2000
36878,2000
36879,2000
36880,2000
36881,2000
36882,2000
36883,2000
36884,2000
36885,2000
36886,2000
36887,2000
36888,2000
36889,2000
36890,2000
36891,2000
36892,2001
36893,2001
36894,2001
36895,2001
36896,2001
36897,2001
36898,2001
36899,2001
36900,2001
36901,2001
36902,2001
36903,2001
36904,2001
36905,2001
36906,2001
36907,2001
36908,2001
36909,2001
36910,2001
36911,2001
36912,2001
36913,2001
36914,2001
36915,2001
36916,2001
36917,2001
36918,2001
36919,2001
36920,2001
36921,2001
36922,2001
36923,2001
36924,2001
36925,2001
36926,2001
36927,2001
36928,2001
36929,2001
36930,2001
36931,2001
36932,2001
36933,2001
36934,2001
36935,2001
36936,2001
36937,2001
36938,2001
36939,2001
36940,2001
36941,2001
36942,2001
36943,2001
36944,2001
36945,2001
36946,2001
36947,2001
36948,2001
36949,2001
36950,2001
36951,2001
36952,2001
36953,2001
36954,2001
36955,2001
36956,2001
36957,2001
36958,2001
36959,2001
36960,2001
36961,2001
36962,2001
36963,2001
36964,2001
36965,2001
36966,2001
36967,2001
36968,2001
36969,2001
36970,2001
36971,2001
36972,2001
36973,2001
36974,2001
36975,2001
36976,2001
36977,2001
36978,2001
36979,2001
36980,2001
36981,2001
36982,2001
36983,2001
36984,2001
36985,2001
36986,2001
36987,2001
36988,2001
36989,2001
36990,2001
36991,2001
36992,2001
36993,2001
36994,2001
36995,2001
36996,2001
36997,2001
36998,2001
36999,2001
37000,2001
37001,2001
37002,2001
37003,2001
37004,2001
37005,2001
37006,2001
37007,2001
37008,2001
37009,2001
37010,2001
37011,2001
37012,2001
37013,2001
37014,2001
37015,2001
37016,2001
37017,2001
37018,2001
37019,2001
37020,2001
37021,2001
37022,2001
37023,2001
37024,2001
37025,2001
37026,2001
37027,2001
37028,2001
37029,2001
37030,2001
37031,2001
37032,2001
37033,2001
37034,2001
37035,2001
37036,2001
37037,2001
37038,2001
37039,2001
37040,2001
37041,2001
37042,2001
37043,2001
37044,2001
37045,2001
37046,2001
37047,2001
37048,2001
37049,2001
37050,2001
37051,2001
37052,2001
37053,2001
37054,2001
37055,2001
37056,2001
37057,2001
37058,2001
37059,2001
37060,2001
37061,2001
37062,2001
37063,2001
37064,2001
37065,2001
37066,2001
37067,2001
37068,2001
37069,2001
37070,2001
37071,2001
37072,2001
37073,2001
37074,2001
37075,2001
37076,2001
37077,2001
37078,2001
37079,2001
37080,2001
37081,2001
37082,2001
37083,2001
37084,2001
37085,2001
37086,2001
37087,2001
37088,2001
37089,2001
37090,2001
37091,2001
37092,2001
37093,2001
37094,2001
37095,2001
37096,2001
37097,2001
37098,2001
37099,2001
37100,2001
37101,2001
37102,2001
37103,2001
37104,2001
37105,2001
37106,2001
37107,2001
37108,2001
37109,2001
37110,2001
37111,2001
37112,2001
37113,2001
37114,2001
37115,2001
37116,2001
37117,2001
37118,2001
37119,2001
37120,2001
37121,2001
37122,2001
37123,2001
37124,2001
37125,2001
37126,2001
37127,2001
37128,2001
37129,2001
37130,2001
37131,2001
37132,2001
37133,2001
37134,2001
37135,2001
37136,2001
37137,2001
37138,2001
37139,2001
37140,2001
37141,2001
37142,2001
37143,2001
37144,2001
37145,2001
37146,2001
37147,2001
37148,2001
37149,2001
37150,2001
37151,2001
37152,2001
37153,2001
37154,2001
37155,2001
37156,2001
37157,2001
37158,2001
37159,2001
37160,2001
37161,2001
37162,2001
37163,2001
37164,2001
37165,2001
37166,2001
37167,2001
37168,2001
37169,2001
37170,2001
37171,2001
37172,2001
37173,2001
37174,2001
37175,2001
37176,2001
37177,2001
37178,2001
37179,2001
37180,2001
37181,2001
37182,2001
37183,2001
37184,2001
37185,2001
37186,2001
37187,2001
37188,2001
37189,2001
37190,2001
37191,2001
37192,2001
37193,2001
37194,2001
37195,2001
37196,2001
37197,2001
37198,2001
37199,2001
37200,2001
37201,2001
37202,2001
37203,2001
37204,2001
37205,2001
37206,2001
37207,2001
37208,2001
37209,2001
37210,2001
37211,2001
37212,2001
37213,2001
37214,2001
37215,2001
37216,2001
37217,2001
37218,2001
37219,2001
37220,2001
37221,2001
37222,2001
37223,2001
37224,2001
37225,2001
37226,2001
37227,2001
37228,2001
37229,2001
37230,2001
37231,2001
37232,2001
37233,2001
37234,2001
37235,2001
37236,2001
37237,2001
37238,2001
37239,2001
37240,2001
37241,2001
37242,2001
37243,2001
37244,2001
37245,2001
37246,2001
37247,2001
37248,2001
37249,2001
37250,2001
37251,2001
37252,2001
37253,2001
37254,2001
37255,2001
37256,2001
37257,2002
37258,2002
37259,2002
37260,2002
37261,2002
37262,2002
37263,2002
37264,2002
37265,2002
37266,2002
37267,2002
37268,2002
37269,2002
37270,2002
37271,2002
37272,2002
37273,2002
37274,2002
37275,2002
37276,2002
37277,2002
37278,2002
37279,2002
37280,2002
37281,2002
37282,2002
37283,2002
37284,2002
37285,2002
37286,2002
37287,2002
37288,2002
37289,2002
37290,2002
37291,2002
37292,2002
37293,2002
37294,2002
37295,2002
37296,2002
37297,2002
37298,2002
37299,2002
37300,2002
37301,2002
37302,2002
37303,2002
37304,2002
37305,2002
37306,2002
37307,2002
37308,2002
37309,2002
37310,2002
37311,2002
37312,2002
37313,2002
37314,2002
37315,2002
37316,2002
37317,2002
37318,2002
37319,2002
37320,2002
37321,2002
37322,2002
37323,2002
37324,2002
37325,2002
37326,2002
37327,2002
37328,2002
37329,2002
37330,2002
37331,2002
37332,2002
37333,2002
37334,2002
37335,2002
37336,2002
37337,2002
37338,2002
